"artist","song","lyrics"
"Daft Punk feat. Pharrell Williams & Nile Rodgers","Get Lucky","Like the legend of the phoenix, huh All ends with beginnings What keeps the planet spinning, uh-huh The force from the beginning Look  We've come too far To give up who we are So let's raise the bar And our cups to the stars  She's up all night 'til the sun I'm up all night to get some She's up all night for good fun I'm up all night to get lucky We're up all night 'til the sun We're up all night to get some We're up all night for good fun We're up all night to get lucky Wе're up all night to get lucky We'rе up all night to get lucky We're up all night to get lucky We're up all night to get lucky  She's up all night 'til the sun I'm up all night to get some She's up all night for good fun I'm up all night to get lucky She's up all night 'til the sun I'm up all night to get some She's up all night for good fun (Fun) Hi, Barbie"
"Imagine Dragons","Radioactive","Woah, oh-oh Woah, oh-oh Woah, oh-oh Woah  I'm waking up to ash and dust I wipe my brow and I sweat my rust I'm breathing in the chemicals  I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse Woah  I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age  Woah-oh, woah I'm radioactive, radioactive Woah-oh, woah I'm radioactive, radioactive I raise my flags, dye my clothes It's a revolution, I suppose We're painted red to fit right in Woah  I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse Woah  I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age  Woah-oh, woah I'm radioactive, radioactive Woah-oh, woah I'm radioactive, radioactive  All systems go, the sun hasn't died Deep in my bones, straight from inside I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age  Woah-oh, woah I'm radioactive, radioactive Woah-oh, woah I'm radioactive, radioactive328"
"Lorde","Royals","I've never seen a diamond in the flesh I cut my teeth on wedding rings in the movies And I'm not proud of my address In a torn-up town, no postcode envy  But every song's like Gold teeth, Grey Goose, trippin' in the bathroom Bloodstains, ball gowns, trashin' the hotel room We don't care, we're driving Cadillacs in our dreams But everybody's like Cristal, Maybach, diamonds on your timepiece Jet planes, islands, tigers on a gold leash We don't care, we aren't caught up in your love affair  And we'll never be royals (Royals) It don't run in our blood That kind of luxe just ain't for us We crave a different kind of buzz Let me be your ruler (Ruler) You can call me queen bee And baby, I'll rule (I'll rule, I'll rule, I'll rule) Let me live that fantasy  My friends and I, we've cracked the code We count our dollars on the train to the party And everyone who knows us knows That we're fine with this, we didn't come from money  But every song's like Gold teeth, Grey Goose, trippin' in the bathroom Bloodstains, ball gowns, trashin' the hotel room We don't care, we're driving Cadillacs in our dreams But everybody's like Cristal, Maybach, diamonds on your timepiece Jet planes, islands, tiger's on a gold leash We don't care, we aren't caught up in your love affair And we'll never be royals (Royals) It don't run in our blood That kind of luxe just ain't for us We crave a different kind of buzz Let me be your ruler (Ruler) You can call me queen bee And baby, I'll rule (I'll rule, I'll rule, I'll rule) Let me live that fantasy (Oh, oh-oh) We're bigger than we ever dreamed And I'm in love with being queen (Oh, oh-oh) Life is great without a care We aren't caught up in your love affair  And we'll never be royals (Royals) It don't run in our blood That kind of luxe just ain't for us We crave a different kind of buzz Let me be your ruler (Ruler) You can call me queen bee And baby, I'll rule (I'll rule, I'll rule, I'll rule) Let me live that fantasy 429"
"Bruno Mars","Locked Out of Heaven","(One, two, one, two, three) Aw, yeah, yeah Aw, yeah, yeah, yeah, yeah (Uh) Aw, yeah, yeah Aw, yeah, yeah, yeah, yeah (Uh)  Never had much faith in love or miracles (Uh) Never wanna put my heart on the line (Uh) But swimmin' in your water's somethin' spiritual (Uh) I'm born again every time you spend the night, —ight (Uh)  'Cause your sex takes me to paradise Yeah, your sex takes me to paradise And it shows Yeah, yeah, yeah  'Cause you make me feel like I've been locked outta heaven For too long For too long Yeah, you make me feel like I've been locked outta heaven For too long For too long Aw, yeah, yeah, yeah, yeah (Uh) Aw, yeah, yeah Aw, yeah, yeah, yeah, yeah (Uh)  You bring me to my knees, you make me testify (Uh) You can make a sinner change his ways (Uh) Open up your gates 'cause I can't wait to see the light (Uh) And right there is where I wanna stay, —ay (Uh)  'Cause your sex takes me to paradise Yeah, your sex takes me to paradise And it shows Yeah, yeah, yeah  'Cause you make me feel like I've been locked outta heaven For too long For too long Yeah, you make me feel like I've been locked outta heaven For too long For too long Oh, woah, woah, woah Yeah, yeah, yeah Can I just stay here? Spend the rest of my days here? Oh, woah, woah, woah Yeah, yeah, yeah Can I just stay here? Spend the rest of my days here?  'Cause you make me feel like I've been locked outta heaven For too long For too long Yeah, you make me feel like I've been locked outta heaven For too long For too long  Aw, yeah, yeah, yeah, yeah (Uh) Aw, yeah, yeah Aw, yeah, yeah, yeah, yeah (Uh)82"
"Robin Thicke feat. T.I. & Pharrell Williams","Blurred Lines","Everybody get up Everybody get up Hey, hey, hey Hey, hey, hey (Uh) Hey, hey, hey (Ha-ha Woo) Tune me up  If you can't hear what I'm trying to say (Hey, girl, come here) If you can't read from the same page (Hey) Maybe I'm going deaf (Hey, hey, hey) Maybe I'm going blind (Hey, hey, hey) Maybe I'm out of my mind (Hey, hey, hey) Everybody get up  Okay, now he was close Tried to domesticate you But you're an animal Baby, it's in your nature (Meow) Just let me liberate you (Hey, hey, hey) You don't need no takers (Hey, hey, hey) That man is not your maker (Hey, hey, hey) And that's why I'm gon' take a (Everybody get up)  Good girl I know you want it (Hey) I know you want it I know you want it You're a good girl Can't let it get past me You're far from plastic (Alright) Talkin' 'bout getting blasted I hate these blurred lines I know you want it (Hey) I know you want it (Oh yeah) I know you want it But you're a good girl The way you grab me Must wanna get nasty Go ahead, get at me Everybody get up (Come on)  What do they make dreams for (Why?) When you got them jeans on? (Why?) What do we need steam for? You the hottest bitch in this place I feel so lucky (Hey, hey, hey) You wanna hug me (Hey, hey, hey) What rhymes with hug me? (Hey, hey, hey) Hey (Everybody get up) Okay, now he was close Tried to domesticate you But you're an animal Baby, it's in your nature (Uh-huh) Just let me liberate you (Hey, hey, hey) (Uh-huh) You don't need no takers (Hey, hey, hey) (Uh-huh) That man is not your maker (Hey, hey, hey) (Uh-huh) And that's why I'm gon' take a (Everybody get up)  Good girl I know you want it I know you want it (Hey) I know you want it You're a good girl Can't let it get past me (Hey) You're far from plastic (Oh) Talkin' 'bout getting blasted (Everybody get up) I hate these blurred lines (Hate them lines) I know you want it (I hate them lines) I know you want it (I hate them lines) I know you want it But you're a good girl (Good girl) The way you grab me Must wanna get nasty Go ahead, get at me (Everybody get up) Hustle Gang, homie Let go Ay, say Rob, let me holla at 'em real quick One thing I ask of you Let me be the one you back that ass up to (Come on) Go from Malibu to Paris, boo (Yeah) Had a bitch, but she ain't bad as you So, hit me up when you pass through I'll give you something big enough to tear your ass in two Swag on 'em even when you dress casual I mean, it's almost unbearable (Everybody get up) In a hundred years not dare would I Pull a Pharcyde, let you pass me by Nothin' like your last guy, he too square for you He don't smack that ass and pull your hair like that So I'm just watchin' and waitin' For you to salute the true big pimpin' (Okay) Not many women can refuse this pimpin' I'm a nice guy, but don't get it confused, get pimpin' (Everybody get up)  Shake your rump Get down, get up-a Do it like it hurt, like it hurt What, you don't like work? Hey (Everybody get up)  Baby, can you breathe? I got this from Jamaica It always works for me Dakota to Decatur (Uh-huh) No more pretending (Hey, hey, hey) (Uh-huh) 'Cause now you're winning (Hey, hey, hey) (Uh-huh) Here's our beginning (Hey, hey, hey) (Uh-huh) I always wanted a  You're a good girl (Everybody get up) I know you want it (Hey) I know you want it I know you want it You're a good girl Can't let it get past me (Oh yeah) You're far from plastic (Alright) Talkin' 'bout getting blasted I hate these blurred lines (Everybody get up) I know you want it (Hey) I know you want it (Oh yeah) I know you want it But you're a good girl The way you grab me Must wanna get nasty (Hey) Go ahead, get at me  Everybody get up Everybody get up Hey, hey, hey Hey, hey, hey Hey, hey, hey111"
"Pink","Just Give Me a Reason","Right from the start You were a thief, you stole my heart And I, your willing victim I let you see the parts of me That weren't all that pretty And with every touch, you fixed them  Now you've been talking in your sleep Oh, oh, things you never say to me Oh, oh, tell me that you've had enough Of our love, our love  Just give me a reason Just a little bit's enough Just a second, we're not broken, just bent And we can learn to love again It's in the stars It's been written in the scars on our hearts We're not broken, just bent And we can learn to love again  I'm sorry I don't understand Where all of this is coming from I thought that we were fine (Oh, we had everything) Your head is running wild again My dear, we still have everything And it's all in your mind (Yeah, but this is happening) You've been having real bad dreams Oh, oh, you used to lie so close to me Oh, oh, there's nothing more than empty sheets Between our love, our love Oh, our love, our love, love  Just give me a reason Just a little bit’s enough Just a second, we’re not broken, just bent And we can learn to love again I’ve never stopped You’re still written in the scars on my heart You’re not broken, just bent And we can learn to love again  Oh, tears ducts and rust I'll fix it for us We're collecting dust But our love's enough You're holding it in You're pouring a drink No, nothing is as bad as it seems We'll come clean Just give me a reason Just a little bit's enough Just a second, we're not broken, just bent And we can learn to love again It's in the stars It's been written in the scars on our hearts That we're not broken, just bent And we can learn to love again Just give me a reason Just a little bit's enough Just a second we're not broken, just bent And we can learn to love again It's in the stars It's still written in the scars on our hearts That we're not broken, just bent And we can learn to love again  Oh-oh, we can learn to love again Oh-oh, can learn to love again Oh-oh That we're not broken, just bent And we can learn to love again80"
"Katy Perry","Roar","I used to bite my tongue and hold my breath Scared to rock the boat and make a mess So I sat quietly, agreed politely I guess that I forgot I had a choice I let you push me past the breaking point I stood for nothing, so I fell for everything You held me down, but I got up (Hey) Already brushing off the dust You hear my voice, you hear that sound Like thunder, gonna shake the ground You held me down, but I got up (Hey) Get ready 'cause I've had enough I see it all, I see it now I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion, and you're gonna hear me roar Louder, louder than a lion 'Cause I am a champion, and you're gonna hear me roar  Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar Now I'm floating like a butterfly Stinging like a bee, I earned my stripes I went from zero, to my own hero  You held me down, but I got up (Hey) Already brushing off the dust You hear my voice, you hear that sound Like thunder, gonna shake the ground You held me down, but I got up (Got up) Get ready 'cause I've had enough I see it all, I see it now  I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion, and you're gonna hear me roar Louder, louder than a lion 'Cause I am a champion, and you're gonna hear me roar  Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar) Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar Roar, roar, roar, roar, roar  I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion, and you're gonna hear me roar Oh, louder, louder than a lion 'Cause I am a champion, and you're gonna hear me roar  Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (Yeah) You're gonna hear me roar Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar) Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar99"
"Macklemore & Ryan Lewis feat. Mary Lambert","Same Love","When I was in the third grade, I thought that I was gay 'Cause I could draw, my uncle was, and I kept my room straight I told my mom, tears rushing down my face She's like, ""Ben, you've loved girls since before Pre-K"" Trippin', yeah, I guess she had a point, didn't she? A bunch of stereotypes all in my head I remember doing the math like, ""Yeah, I'm good at little league"" A pre-conceived idea of what it all meant For those that like the same sex had the characteristics The right-wing conservatives think it's a decision And you can be cured with some treatment and religion Man-made, rewiring of a pre-disposition Playing God, aw nah, here we go America the brave still fears what we don't know And ""God loves all his children"" is somehow forgotten But we paraphrase a book written thirty-five hundred years ago I don't know And I can't change Even if I tried Even if I wanted to And I can't change Even if I tried Even if I wanted to My love, my love, my love She keeps me warm She keeps me warm She keeps me warm She keeps me warm  If I was gay, I would think hip-hop hates me Have you read the YouTube comments lately? ""Man, that's gay"" gets dropped on the daily We've become so numb to what we're sayin' Our culture founded from oppression Yet we don't have acceptance for 'em Call each other faggots behind the keys of a message board A word rooted in hate, yet our genre still ignores it And ""gay"" is synonymous with the lesser It's the same hate that's caused wars from religion Gender to skin color, the complexion of your pigment The same fight that led people to walk-outs and sit-ins It's human rights for everybody, there is no difference Live on and be yourself When I was at church they taught me something else If you preach hate at the service, those words aren't anointed That holy water that you soak in has been poisoned When everyone else is more comfortable remaining voiceless Rather than fighting for humans that have had their rights stolen I might not be the same, but that's not important No freedom 'til we're equal, damn right I support it  And I can't change Even if I tried Even if I wanted to My love, my love, my love She keeps me warm She keeps me warm She keeps me warm She keeps me warm We press play, don't press pause, progress, march on With a veil over our eyes, we turn our back on the cause 'Til the day that my uncles can be united by law When kids are walking 'round the hallway Plagued by a pain in their heart A world so hateful, some would rather die than be who they are And a certificate on paper isn't gonna solve it all But it's a damn good place to start No law's gonna change us, we have to change us Whatever god you believe in, we come from the same one Strip away the fear, underneath it's all the same love About time that we raised up, sing And I can't change Even if I tried Even if I wanted to And I can't change Even if I tried Even if I wanted to My love, my love, my love She keeps me warm She keeps me warm She keeps me warm She keeps me warm Love is patient Love is kind Love is patient Love is kind (Not crying on Sundays) Love is patient (Not crying on Sundays) Love is kind (I'm not crying on Sundays) Love is patient (Not crying on Sundays) Love is kind (I'm not crying on Sundays) Love is patient (Not crying on Sundays) Love is kind (I'm not crying on Sundays) Love is patient Love is kind231"
"Sam Smith","Stay with Me (Darkchild Version)","Guess it's true, I'm not good at a one-night stand But I still need love cause I'm just a man These nights never seem to go to plan I don't want you to leave, will you hold my hand?  Oh won't you stay with me? Cause you're all I need This ain't love, it's clear to see But darling, stay with me  Why am I so emotional? No it's not a good look, gain some self control And deep down I know this never works But you can lay with me so it doesn't hurt  Oh won't you stay with me? Cause you're all I need This ain't love, it's clear to see But darling, stay with me  Oh won't you stay with me? Cause you're all I need This ain't love, it's clear to see But darling, stay with me Oh won't you stay with me? (Oh won't you stay, won't you stay) Cause you're all I need This ain't love, it's clear to see (This ain't love, no, no) But darling, stay with me"
"Iggy Azalea","Fancy","First things first, I'm the realest (Realest) Drop this and let the whole world feel it (Let 'em feel it) And I'm still in the Murda Bizness I can hold you down, like I'm giving lessons in physics (Right, right?) You should want a bad bitch like this (Huh?) Drop it low and pick it up just like this (Yeah) Cup of Ace, cup of Goose, cup of Cris High heels, something worth a half a ticket on my wrist (On my wrist) Taking all the liquor straight, never chase that (Never) Rooftop like we bringing '88 back (What?) Bring the hooks in, where the bass at? Champagne spilling, you should taste that I'm so fancy, you already know I'm in the fast lane, from L.A. to Tokyo I'm so fancy, can't you taste this gold? Remember my name, 'bout to blow-oh-oh-oh I said baby, I do this, I thought that you knew this Can't stand no haters, and honest, the truth is That my flow retarded, each beat dear, departed Swagger on stupid, I can't shop in no department And get my money on time, if it ain't 'bout money, decline And swear I meant that there so much that I give that line a rewind Said I get my money on time, if it ain't 'bout money, decline I just can't worry 'bout no haters, gotta stay on my grind Now tell me, who that, who that? That do that, do that? Put that paper over all, I thought you knew that, knew that I be that I-G-G-Y, put my name in bold I been working, I'm up in here with some change to throw  I'm so fancy, you already know I'm in the fast lane, from L.A. to Tokyo I'm so fancy, can't you taste this gold? Remember my name, 'bout to blow-oh-oh-oh  Trash the hotel Let's get drunk on the minibar Make the phone call Feels so good getting what I want Yeah, keep on turning it up Chandelier swinging, we don't give a fuck Film star, yeah, I'm deluxe Classic, expensive, you don't get to touch, ow! Still stunting, how you love that? Got the whole world asking how I does that (Ooh) Hot girl, hands off, don't touch that (Ooh) Look at it, I bet you wishing you could clutch that That's just the way you like it, huh? It's so good, he just wishing he could bite it, huh? (Say what?) Never turn down nothing Slayin' these hoes, gold trigger on the gun like I'm so fancy, you already know I'm in the fast lane, from L.A. to Tokyo I'm so fancy, can't you taste this gold? Remember my name, 'bout to blow-oh-oh-oh  Who that, who that? I-G-G-Y That do that, do that, I-G-G-Y Who that, who that? I-G-G-Y (Blow-oh-oh-oh) Who that, who that? I-G-G-Y That do that, do that, I-G-G-Y Who that, who that? I-G-G-Y (Blow-oh-oh-oh)1.1K"
