daygrammy;category;song;artist;gender;winner
26.01.2014;Record of the Year;Get Lucky;Daft Punk feat. Pharrell Williams & Nile Rodgers;male;TRUE
26.01.2014;Record of the Year;Radioactive;Imagine Dragons;male;FALSE
26.01.2014;Record of the Year;Royals;Lorde;female;FALSE
26.01.2014;Record of the Year;Locked Out of Heaven;Bruno Mars;male;FALSE
26.01.2014;Record of the Year;Blurred Lines;Robin Thicke feat. T.I. & Pharrell Williams;male;FALSE
26.01.2014;Song of the Year;Royals;Lorde;female;TRUE
26.01.2014;Song of the Year;Just Give Me a Reason;Pink;female and male;FALSE
26.01.2014;Song of the Year;Locked Out of Heaven;Bruno Mars;male;FALSE
26.01.2014;Song of the Year;Roar;Katy Perry;female;FALSE
26.01.2014;Song of the Year;Same Love;Macklemore & Ryan Lewis feat. Mary Lambert;male and female;FALSE
08.02.2015;Record of the Year;Stay with Me (Darkchild Version);Sam Smith;male;TRUE
08.02.2015;Record of the Year;Fancy;Iggy Azalea;female and male;FALSE
08.02.2015;Record of the Year;Chandelier;Sia;female;FALSE
08.02.2015;Record of the Year;Shake It Off;Taylor Swift;female;FALSE
08.02.2015;Record of the Year;All About That Bass;Meghan Trainor;female;FALSE
08.02.2015;Song of the Year;Stay with Me (Darkchild Version);Sam Smith;male;TRUE
08.02.2015;Song of the Year;All About That Bass;Meghan Trainor;female;FALSE
08.02.2015;Song of the Year;Chandelier;Sia;female;FALSE
08.02.2015;Song of the Year;Shake It Off;Taylor Swift;female;FALSE
08.02.2015;Song of the Year;Take Me to Church;Hozier;male;FALSE
15.02.2016;Record of the Year;Uptown Funk;Mark Ronson feat. Bruno Mars;male;TRUE
15.02.2016;Record of the Year;Really Love;Daniel Di Angelo;male;FALSE
15.02.2016;Record of the Year;Thinking Out Loud;Ed Sheeran;male;FALSE
15.02.2016;Record of the Year;Blank Space;Taylor Swift;female;FALSE
15.02.2016;Record of the Year;Can't Feel My Face;The Weeknd;male;FALSE
15.02.2016;Song of the Year;Thinking Out Loud;Ed Sheeran;male;TRUE
15.02.2016;Song of the Year;Alright;Kendrick Lamar;male;FALSE
15.02.2016;Song of the Year;Blank Space;Taylor Swift;female;FALSE
15.02.2016;Song of the Year;Girl Crush;Little Big Town;female;FALSE
